"location_code","year","cause_name","metric","age","sex_name","mean"
"AFG",1990,"Tuberculosis","deaths","All Ages","Male",1823
"AFG",1990,"Tuberculosis","deaths","All Ages","Female",5967.2
"AFG",1990,"HIV/AIDS","deaths","All Ages","Male",20.4
"AFG",1990,"HIV/AIDS","deaths","All Ages","Female",5.7
"AFG",1990,"Diarrheal diseases","deaths","All Ages","Male",10323.3
"AFG",1990,"Diarrheal diseases","deaths","All Ages","Female",11326.6
"AFG",1990,"Lower respiratory infections","deaths","All Ages","Male",13336.1
"AFG",1990,"Lower respiratory infections","deaths","All Ages","Female",12785.1
"AFG",1990,"Malaria","deaths","All Ages","Male",314.7
"AFG",1990,"Malaria","deaths","All Ages","Female",652.8
"AFG",1991,"Tuberculosis","deaths","All Ages","Male",1955.3
"AFG",1991,"Tuberculosis","deaths","All Ages","Female",6361.9
"AFG",1991,"HIV/AIDS","deaths","All Ages","Male",25.8
"AFG",1991,"HIV/AIDS","deaths","All Ages","Female",7.4
"AFG",1991,"Diarrheal diseases","deaths","All Ages","Male",10577.3
"AFG",1991,"Diarrheal diseases","deaths","All Ages","Female",11562
"AFG",1991,"Lower respiratory infections","deaths","All Ages","Male",13504.9
"AFG",1991,"Lower respiratory infections","deaths","All Ages","Female",12937.5
"AFG",1991,"Malaria","deaths","All Ages","Male",342.6
"AFG",1991,"Malaria","deaths","All Ages","Female",691.1
"AFG",1992,"Tuberculosis","deaths","All Ages","Male",2139.9
"AFG",1992,"Tuberculosis","deaths","All Ages","Female",6928.3
"AFG",1992,"HIV/AIDS","deaths","All Ages","Male",32.5
"AFG",1992,"HIV/AIDS","deaths","All Ages","Female",9.5
"AFG",1992,"Diarrheal diseases","deaths","All Ages","Male",10988
"AFG",1992,"Diarrheal diseases","deaths","All Ages","Female",11978.1
"AFG",1992,"Lower respiratory infections","deaths","All Ages","Male",13900
"AFG",1992,"Lower respiratory infections","deaths","All Ages","Female",13305.3
"AFG",1992,"Malaria","deaths","All Ages","Male",372.1
"AFG",1992,"Malaria","deaths","All Ages","Female",737.6
"AFG",1993,"Tuberculosis","deaths","All Ages","Male",2369.7
"AFG",1993,"Tuberculosis","deaths","All Ages","Female",7633
"AFG",1993,"HIV/AIDS","deaths","All Ages","Male",39.8
"AFG",1993,"HIV/AIDS","deaths","All Ages","Female",11.8
"AFG",1993,"Diarrheal diseases","deaths","All Ages","Male",11807.4
"AFG",1993,"Diarrheal diseases","deaths","All Ages","Female",12868.8
"AFG",1993,"Lower respiratory infections","deaths","All Ages","Male",14514
"AFG",1993,"Lower respiratory infections","deaths","All Ages","Female",13939.2
"AFG",1993,"Malaria","deaths","All Ages","Male",400.7
"AFG",1993,"Malaria","deaths","All Ages","Female",805
"AFG",1994,"Tuberculosis","deaths","All Ages","Male",2591.6
"AFG",1994,"Tuberculosis","deaths","All Ages","Female",8342.3
"AFG",1994,"HIV/AIDS","deaths","All Ages","Male",46.8
"AFG",1994,"HIV/AIDS","deaths","All Ages","Female",14.3
"AFG",1994,"Diarrheal diseases","deaths","All Ages","Male",12680.2
"AFG",1994,"Diarrheal diseases","deaths","All Ages","Female",13779
"AFG",1994,"Lower respiratory infections","deaths","All Ages","Male",15081.8
"AFG",1994,"Lower respiratory infections","deaths","All Ages","Female",14496
"AFG",1994,"Malaria","deaths","All Ages","Male",434.7
"AFG",1994,"Malaria","deaths","All Ages","Female",875
"AFG",1995,"Tuberculosis","deaths","All Ages","Male",2733.1
"AFG",1995,"Tuberculosis","deaths","All Ages","Female",8829.7
"AFG",1995,"HIV/AIDS","deaths","All Ages","Male",52.5
"AFG",1995,"HIV/AIDS","deaths","All Ages","Female",16.6
"AFG",1995,"Diarrheal diseases","deaths","All Ages","Male",13630
"AFG",1995,"Diarrheal diseases","deaths","All Ages","Female",14705.4
"AFG",1995,"Lower respiratory infections","deaths","All Ages","Male",15685.9
"AFG",1995,"Lower respiratory infections","deaths","All Ages","Female",15099.9
"AFG",1995,"Malaria","deaths","All Ages","Male",462.1
"AFG",1995,"Malaria","deaths","All Ages","Female",937.9
"AFG",1996,"Tuberculosis","deaths","All Ages","Male",2824.1
