Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001783486,0.002175231,0.001684502,0.001712503,0.001672835,0.001236641,0.001178725,0.001239899,0.001520545,0.00150998,0.001579613,0.001557532,0.001964152,0.002555772,0.003367589,0.00447849,0.00467122,0.005632023,,,,
Andorra,AND,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,
Afghanistan,AFG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.207599357,0.146594662,0.174093101,0.297853858,0.281465482,0.653579591,0.337501291,0.430905266,0.38965992,0.376027027,4.787028371,6.943559976,,,,,,,,,,,,,,,,,,,,5.221243204,4.805274471,3.337855762,2.004523044,1.737635299,2.323297534,1.934008683,2.481151101,1.641834334,2.372934444,2.252703346,1.752003308,1.393511976,1.69319608,
Angola,AGO,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,27.00385203,13.74612562,25.72362787,23.41748961,20.6582685,31.64656021,21.95777716,49.31148185,42.6007937,,56.48633195,52.1422366,49.22604019,32.56902019,50.9752811,66.09926478,53.3760916,38.19676784,39.28803628,46.07023653,54.58512122,52.78100523,55.96762134,63.91793702,39.88173588,45.50162224,42.55133204,38.15203874,32.71764164,,
Albania,ALB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,15.16736157,12.51993782,6.547285477,7.800593114,9.46599235,9.584278995,10.31030853,14.47376202,18.47263636,5.267798702,2.827563131,2.289075119,1.978103017,1.893625213,0.893365426,0.948129781,1.52206417,1.051983199,1.159821368,1.059100413,1.331474063,1.639553469,2.258816012,3.194813411,2.94115701,1.759302194,3.128352785,4.917798565,5.207157548,5.489289119,5.396396326,
Arab World,ARB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,13.65608111,18.06107936,18.19534661,25.68169259,53.59654671,41.81095553,42.30651866,40.75946829,37.10426551,0.267703665,59.79057945,47.83197705,35.86339406,31.10941691,30.37252361,26.36777197,17.22079033,20.69847219,18.69012764,22.82402481,22.75654319,27.01565454,25.71244289,23.19031345,21.34185914,22.09870134,24.92702332,22.3367987,15.19403605,17.85654372,29.44847575,25.23382946,23.6512275,28.93275443,34.68301251,43.17960239,42.86810911,39.67884163,46.61692451,28.86701006,32.61720809,36.45604385,34.6347623,32.94288189,28.54027504,
United Arab Emirates,ARE,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,40.91666539,40.26690437,34.85272061,34.81507496,63.97403786,52.05774091,37.99999915,31.10945066,27.73889771,27.83814064,27.95013965,18.98208034,25.66296051,20.46800552,26.01775504,32.3751954,30.00849365,26.03948343,21.91754795,19.78619452,20.11258922,23.03248238,20.3856632,13.53746877,15.22789257,24.43117249,20.49692477,17.41806875,21.5925118,24.71580887,30.55195118,29.91070002,27.7669366,32.39570038,20.63022832,23.16699641,27.41878235,26.10202692,24.56557856,20.54810204,
Argentina,ARG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.736596789,0.975032065,1.010495525,1.048276897,2.639035701,3.349063771,3.80983387,4.048877906,4.339578289,8.443350224,9.296997971,8.753185175,7.512557472,5.642881282,6.997329693,5.573458066,2.449612142,2.699781194,2.230799388,4.326816235,3.551267874,2.362738536,2.042130731,1.97946307,1.798320272,2.179522744,2.773742419,2.432179393,1.643345607,2.081939712,3.948375628,3.657310178,9.079176953,9.547586146,8.363596341,10.22279296,9.728158257,8.017430794,8.905471691,5.062252513,5.055833221,5.039962148,4.266946161,3.824823087,3.570938905,
Armenia,ARM,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.577715841,0.160954535,0.141426531,0.368458839,0.309342697,0.468514473,0.534588208,0.97927325,0.904570685,1.79082573,1.298593003,1.340580838,1.860982477,3.309502909,4.194238029,4.09831421,3.382378253,3.294863611,
American Samoa,ASM,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,1.710301786,1.902055661,1.821045313,2.62643675,4.164736612,3.958077564,4.393872409,4.652250948,3.811261801,6.395091579,6.314384189,6.439041679,5.819324841,4.679279115,4.370113152,5.16630564,3.082949994,3.466157075,4.134539357,2.679382656,3.501566491,2.86551013,2.733202319,2.570448252,2.573898154,2.480974283,2.705257293,2.36690412,2.242927564,2.341689647,3.981289196,3.897577223,3.542431441,3.696789671,4.613263318,5.672431573,6.950183388,9.617139564,12.85720537,6.930059758,10.60824222,11.55272624,8.31947854,8.447478773,7.117576113,
