"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NEET","15_19_MEN","PC_AGE","A","1997",,"M"
"AUS","NEET","15_19_MEN","PC_AGE","A","1998",,"M"
"AUS","NEET","15_19_MEN","PC_AGE","A","1999",,"M"
"AUS","NEET","15_19_MEN","PC_AGE","A","2000",6.404,
"AUS","NEET","15_19_MEN","PC_AGE","A","2001",,"M"
"AUS","NEET","15_19_MEN","PC_AGE","A","2002",,"M"
"AUS","NEET","15_19_MEN","PC_AGE","A","2003",,"M"
"AUS","NEET","15_19_MEN","PC_AGE","A","2004",,"M"
"AUS","NEET","15_19_MEN","PC_AGE","A","2005",7.13,
"AUS","NEET","15_19_MEN","PC_AGE","A","2006",,"M"
"AUS","NEET","15_19_MEN","PC_AGE","A","2007",,"M"
"AUS","NEET","15_19_MEN","PC_AGE","A","2008",,"M"
"AUS","NEET","15_19_MEN","PC_AGE","A","2009",,"M"
"AUS","NEET","15_19_MEN","PC_AGE","A","2010",8.92,
"AUS","NEET","15_19_MEN","PC_AGE","A","2011",,"M"
"AUS","NEET","15_19_MEN","PC_AGE","A","2012",,"M"
"AUS","NEET","15_19_MEN","PC_AGE","A","2013",,"M"
"AUS","NEET","15_19_MEN","PC_AGE","A","2014",7.625,
"AUS","NEET","20_24_MEN","PC_AGE","A","1997",,"M"
"AUS","NEET","20_24_MEN","PC_AGE","A","1998",,"M"
"AUS","NEET","20_24_MEN","PC_AGE","A","1999",,"M"
"AUS","NEET","20_24_MEN","PC_AGE","A","2000",10.515,
"AUS","NEET","20_24_MEN","PC_AGE","A","2001",,"M"
"AUS","NEET","20_24_MEN","PC_AGE","A","2002",,"M"
"AUS","NEET","20_24_MEN","PC_AGE","A","2003",,"M"
"AUS","NEET","20_24_MEN","PC_AGE","A","2004",,"M"
"AUS","NEET","20_24_MEN","PC_AGE","A","2005",8.865,
"AUS","NEET","20_24_MEN","PC_AGE","A","2006",,"M"
"AUS","NEET","20_24_MEN","PC_AGE","A","2007",,"M"
"AUS","NEET","20_24_MEN","PC_AGE","A","2008",,"M"
"AUS","NEET","20_24_MEN","PC_AGE","A","2009",,"M"
"AUS","NEET","20_24_MEN","PC_AGE","A","2010",9.309,
"AUS","NEET","20_24_MEN","PC_AGE","A","2011",,"M"
"AUS","NEET","20_24_MEN","PC_AGE","A","2012",,"M"
"AUS","NEET","20_24_MEN","PC_AGE","A","2013",,"M"
"AUS","NEET","20_24_MEN","PC_AGE","A","2014",11.665,
"AUS","NEET","15_19_WOMEN","PC_AGE","A","1997",,"M"
"AUS","NEET","15_19_WOMEN","PC_AGE","A","1998",,"M"
"AUS","NEET","15_19_WOMEN","PC_AGE","A","1999",,"M"
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2000",7.265,
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2001",,"M"
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2002",,"M"
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2003",,"M"
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2004",,"M"
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2005",7.668,
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2006",,"M"
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2007",,"M"
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2008",,"M"
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2009",,"M"
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2010",7.161,
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2011",,"M"
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2012",,"M"
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2013",,"M"
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2014",6.779,
"AUS","NEET","20_24_WOMEN","PC_AGE","A","1997",,"M"
"AUS","NEET","20_24_WOMEN","PC_AGE","A","1998",,"M"
"AUS","NEET","20_24_WOMEN","PC_AGE","A","1999",,"M"
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2000",16.153,
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2001",,"M"
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2002",,"M"
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2003",,"M"
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2004",,"M"
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2005",14.486,
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2006",,"M"
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2007",,"M"
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2008",,"M"
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2009",,"M"
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2010",13.173,
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2011",,"M"
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2012",,"M"
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2013",,"M"
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2014",14.878,
"AUT","NEET","15_19_MEN","PC_AGE","A","1997",,"M"
"AUT","NEET","15_19_MEN","PC_AGE","A","1998",,"M"
"AUT","NEET","15_19_MEN","PC_AGE","A","1999",,"M"
"AUT","NEET","15_19_MEN","PC_AGE","A","2000",,"M"
"AUT","NEET","15_19_MEN","PC_AGE","A","2001",,"M"
"AUT","NEET","15_19_MEN","PC_AGE","A","2002",,"M"
"AUT","NEET","15_19_MEN","PC_AGE","A","2003",,"M"
"AUT","NEET","15_19_MEN","PC_AGE","A","2004",,"M"
"AUT","NEET","15_19_MEN","PC_AGE","A","2005",7.686,
"AUT","NEET","15_19_MEN","PC_AGE","A","2006",,"M"
"AUT","NEET","15_19_MEN","PC_AGE","A","2007",,"M"
"AUT","NEET","15_19_MEN","PC_AGE","A","2008",,"M"
"AUT","NEET","15_19_MEN","PC_AGE","A","2009",,"M"
"AUT","NEET","15_19_MEN","PC_AGE","A","2010",6.281,
"AUT","NEET","15_19_MEN","PC_AGE","A","2011",,"M"
"AUT","NEET","15_19_MEN","PC_AGE","A","2012",,"M"
"AUT","NEET","15_19_MEN","PC_AGE","A","2013",,"M"
"AUT","NEET","15_19_MEN","PC_AGE","A","2014",6.559,
"AUT","NEET","20_24_MEN","PC_AGE","A","1997",,"M"
"AUT","NEET","20_24_MEN","PC_AGE","A","1998",,"M"
"AUT","NEET","20_24_MEN","PC_AGE","A","1999",,"M"
"AUT","NEET","20_24_MEN","PC_AGE","A","2000",,"M"
"AUT","NEET","20_24_MEN","PC_AGE","A","2001",,"M"
"AUT","NEET","20_24_MEN","PC_AGE","A","2002",,"M"
