ISO,Rank,FR_Country,EN_country,ES_country,Underlying situation score 2016,Abuse score 2016,Overall Score 2016,Progression RANK,Rank 2015,Score 2015,Zone
FIN,1,Finlande,Finland,Finlandia,"8,59",,"8,59",0,1,"7,52",UE Balkans
NLD,2,Pays-Bas,Netherlands,Pa�ses Bajos,"8,76",,"8,76",2,4,"9,22",UE Balkans
NOR,3,Norv�ge,Norway,Noruega,"8,79",,"8,79",-1,2,"7,75",UE Balkans
DNK,4,Danemark,Denmark,Dinamarca,"8,89",,"8,89",-1,3,"8,24",UE Balkans
NZL,5,Nouvelle-Z�lande,New Zealand,Nueva Zelanda,"10,01",,"10,01",1,6,"10,06",Asie-Pacifique
CRI,6,Costa Rica,Costa Rica,Costa Rica,"11,1",,"11,1",10,16,"12,26",Am�riques
CHE,7,Suisse,Switzerland,Suiza,"11,76",,"11,76",13,20,"13,85",UE Balkans
SWE,8,Su�de,Sweden,Suecia,"12,33",,"12,33",-3,5,"9,47",UE Balkans
IRL,9,Irlande,Ireland,Irlanda,"12,4",,"12,4",2,11,"11,2",UE Balkans
JAM,10,Jama�que,Jamaica,Jamaica,"12,45",,"12,45",-1,9,"11,18",Am�riques
AUT,11,Autriche,Austria,Austria,"13,18",,"13,18",-4,7,"10,85",UE Balkans
SVK,12,Slovaquie,Slovakia,Eslovaquia,"13,26",,"13,26",2,14,"11,66",UE Balkans
BEL,13,Belgique,Belgium,B�lgica,"14,18","13,86","14,18",2,15,"11,98",UE Balkans
EST,14,Estonie,Estonia,Estonia,"14,31",,"14,31",-4,10,"11,19",UE Balkans
LUX,15,Luxembourg,Luxembourg,Luxemburgo,"14,43",,"14,43",4,19,"13,61",UE Balkans
DEU,16,Allemagne,Germany,Alemania,"9,21","37,14","14,8",-4,12,"11,47",UE Balkans
NAM,17,Namibie,Namibia,Namibia,"15,15","6,93","15,15",0,17,"12,5",Afrique
CAN,18,Canada,Canada,Canad�,"15,26",,"15,26",-10,8,"10,99",Am�riques
ISL,19,Islande,Iceland,Islandia,"15,3",,"15,3",2,21,"13,87",UE Balkans
URY,20,Uruguay,Uruguay,Uruguay,"15,88",,"15,88",3,23,"15,94",Am�riques
CZE,21,R�publique tch�que,Czech Republic,Rep�blica Checa,"16,66",,"16,66",-8,13,"11,62",UE Balkans
SUR,22,Surinam,Suriname,Surinam,"16,7",,"16,7",7,29,"18,2",Am�riques
PRT,23,Portugal,Portugal,Portugal,"17,27",,"17,27",3,26,"17,11",UE Balkans
LVA,24,Lettonie,Latvia,Letonia,"17,38",,"17,38",4,28,"18,12",UE Balkans
AUS,25,Australie,Australia,Australia,"17,84","6,93","17,84",0,25,"17,03",Asie-Pacifique
GHA,26,Ghana,Ghana,Ghana,"17,95","6,93","17,95",-4,22,"15,5",Afrique
CYP,27,Chypre,Cyprus,Chipre,"18,26",,"18,26",-3,24,"16,52",UE Balkans
LIE,28,Liechtenstein,Liechtenstein,Liechtenstein,"18,36",,"18,36",-1,27,"17,67",UE Balkans
WSM,29,Samoa,Samoa,Samoa,"18,8",,"18,8",11,40,"22,32",Asie-Pacifique
XCD,30,OECS,OECS,OECS,"18,91",,"18,91",7,37,"21,02",Am�riques
CHL,31,Chili,Chile,Chile,"19,23",,"19,23",12,43,23,Am�riques
CPV,32,Cap-Vert,Cape Verde,Cabo Verde,"19,82",,"19,82",4,36,"20,69",Afrique
