".id","iso3c","PC1","PC2","labels","join.on"
"Economic","AFG",-2.7,2.16,"C","Economic C"
"Economic","AGO",-1.78,-0.9,"D","Economic D"
"Economic","ALB",0.99,1.7,"E","Economic E"
"Economic","ARE",0.98,-0.96,"F","Economic F"
"Economic","ARG",0.41,-0.04,"F","Economic F"
"Economic","ARM",0.67,1.49,"E","Economic E"
"Economic","AUS",3.32,-1.1,"H","Economic H"
"Economic","AUT",3.52,-0.72,"H","Economic H"
"Economic","AZE",0.79,-0.74,"F","Economic F"
"Economic","BDI",-3.55,-1.06,"A","Economic A"
"Economic","BEL",3.3,0.25,"H","Economic H"
"Economic","BEN",-1.62,-1.02,"D","Economic D"
"Economic","BFA",-2.92,-1.57,"A","Economic A"
"Economic","BGD",-1.48,0.22,"B","Economic B"
"Economic","BGR",2.11,0.28,"H","Economic H"
"Economic","BHR",1.04,-0.25,"F","Economic F"
"Economic","BIH",0.45,3.15,"E","Economic E"
"Economic","BLR",1.09,-0.72,"F","Economic F"
"Economic","BOL",-1.28,-1.81,"D","Economic D"
"Economic","BRA",0.39,-0.35,"F","Economic F"
"Economic","BRB",1.68,0.54,"F","Economic F"
"Economic","BTN",-1.9,-0.32,"B","Economic B"
"Economic","BWA",-0.55,0.08,"F","Economic F"
"Economic","CAF",-3.33,1.42,"B","Economic B"
"Economic","CAN",3.52,-0.63,"H","Economic H"
"Economic","CHE",3.35,-1.3,"H","Economic H"
"Economic","CHL",0.88,-1.28,"F","Economic F"
"Economic","CHN",0.6,-1.76,"F","Economic F"
"Economic","CIV",-1.53,-0.42,"B","Economic B"
"Economic","CMR",-1.26,-1.22,"D","Economic D"
"Economic","COD",-3.7,-0.91,"A","Economic A"
"Economic","COG",-2.26,-1.14,"A","Economic A"
"Economic","COL",0.09,-0.32,"F","Economic F"
"Economic","COM",-2.1,0.61,"B","Economic B"
"Economic","CPV",-0.85,1.15,"E","Economic E"
"Economic","CRI",0.48,-0.29,"F","Economic F"
"Economic","CUB",0.8,-0.61,"F","Economic F"
"Economic","CYP",2.79,1.2,"G","Economic G"
"Economic","CZE",3.07,-0.73,"H","Economic H"
"Economic","DEU",3.6,-1.02,"H","Economic H"
"Economic","DJI",-1.3,0.41,"B","Economic B"
"Economic","DNK",3.39,-1.03,"H","Economic H"
"Economic","DOM",-0.03,0.4,"E","Economic E"
"Economic","DZA",-0.54,1.41,"E","Economic E"
"Economic","ECU",-0.9,-1.55,"D","Economic D"
"Economic","EGY",0.79,2.47,"E","Economic E"
"Economic","ERI",-2.99,-0.5,"A","Economic A"
"Economic","ESP",2.72,1.87,"G","Economic G"
"Economic","EST",2.86,-1.31,"H","Economic H"
"Economic","ETH",-3,-2.6,"D","Economic D"
"Economic","FIN",3.43,-0.41,"H","Economic H"
"Economic","FJI",-0.13,0.76,"E","Economic E"
"Economic","FRA",3.15,0.11,"H","Economic H"
"Economic","GAB",-1.29,0.99,"B","Economic B"
"Economic","GBR",3.65,-0.57,"H","Economic H"
"Economic","GEO",1.57,-0.34,"F","Economic F"
"Economic","GHA",-0.19,-1.44,"F","Economic F"
"Economic","GIN",-2.52,-0.91,"A","Economic A"
"Economic","GMB",-1.18,0.12,"B","Economic B"
"Economic","GNB",-2.43,-0.01,"B","Economic B"
"Economic","GRC",3.1,3.28,"G","Economic G"
"Economic","GTM",-1.42,-0.03,"B","Economic B"
"Economic","GUY",-0.85,0.62,"B","Economic B"
"Economic","HND",-1.4,1.08,"B","Economic B"
"Economic","HRV",2.56,1.31,"G","Economic G"
"Economic","HTI",-2.98,-0.3,"A","Economic A"
"Economic","HUN",2.78,-0.02,"H","Economic H"
"Economic","IDN",-0.39,-0.47,"F","Economic F"
"Economic","IND",-0.21,0.52,"E","Economic E"
"Economic","IRL",3.53,0.22,"H","Economic H"
"Economic","IRN",0.14,2.63,"E","Economic E"
"Economic","IRQ",-1.65,3.52,"C","Economic C"
"Economic","ISL",3.12,-1.44,"H","Economic H"
"Economic","ISR",3.01,-0.53,"H","Economic H"
"Economic","ITA",3.07,1.77,"G","Economic G"
"Economic","JAM",1.08,1.33,"E","Economic E"
"Economic","JOR",1.39,2.39,"E","Economic E"
"Economic","JPN",3.87,0.07,"H","Economic H"
"Economic","KAZ",0.89,-1.66,"F","Economic F"
"Economic","KEN",-1.4,0.01,"B","Economic B"
"Economic","KGZ",0.46,-0.06,"F","Economic F"
"Economic","KHM",-1.45,-2.48,"D","Economic D"
"Economic","KOR",2.36,-0.78,"H","Economic H"
"Economic","KWT",0.03,-0.26,"F","Economic F"
"Economic","LAO",-1.89,-2.46,"D","Economic D"
"Economic","LBN",1.21,2.12,"E","Economic E"
"Economic","LBR",-3.29,-0.62,"A","Economic A"
"Economic","LBY",-0.1,4.22,"C","Economic C"
"Economic","LKA",0.86,-1.24,"F","Economic F"
"Economic","LSO",-2.17,1.55,"B","Economic B"
"Economic","LTU",2.83,-0.98,"H","Economic H"
"Economic","LUX",3.14,-0.91,"H","Economic H"
"Economic","LVA",2.71,-0.89,"H","Economic H"
"Economic","MAR",0.36,1.17,"E","Economic E"
"Economic","MDA",0.4,0.04,"F","Economic F"
"Economic","MDG",-2.12,-2.05,"D","Economic D"
"Economic","MDV",-0.85,2.14,"E","Economic E"
"Economic","MEX",0.58,-0.2,"F","Economic F"
"Economic","MKD",0.3,2.17,"E","Economic E"
"Economic","MLI",-2.23,0.24,"B","Economic B"
"Economic","MMR",-2.42,-1.08,"A","Economic A"
"Economic","MNE",1.33,1.91,"E","Economic E"
"Economic","MNG",-0.45,-2.3,"F","Economic F"
"Economic","MOZ",-3.06,-0.26,"A","Economic A"
