"iso3c","PC1","PC2","cut","cluster","countryname"
"AFG",-3.05707025582459,-0.178613766452864,"A","B","Afghanistan"
"AGO",-1.48873800218505,0.0296267169879527,"A","B","Angola"
"ALB",0.877658766708693,-0.34406287477365,"B","E","Albania"
"ARE",1.51025690370651,-1.64451495281799,"B","E","United Arab Emirates"
"ARG",1.83302379629395,-0.120573076230225,"B","E","Argentina"
"ARM",0.314502767703834,0.143195639701433,"C","D","Armenia"
"AUS",2.84225303254704,-0.544563446773543,"B","E","Australia"
"AUT",2.94723627847618,1.01820235301469,"D","F","Austria"
"AZE",0.00345090728655811,-1.88502224684821,"E","C","Azerbaijan"
"BDI",-3.75500746573022,0.55897708520629,"F","A","Burundi"
"BEL",2.29254446832403,1.09565913117529,"D","F","Belgium"
"BEN",-1.13415192324235,1.82170155429886,"F","A","Benin"
"BFA",-2.25976151003639,1.86218251005164,"F","A","Burkina Faso"
"BGD",-1.76313081023728,-1.51604601013324,"A","B","Bangladesh"
"BGR",0.927124304532792,1.57546389102496,"C","D","Bulgaria"
"BHR",1.63552829216466,-0.00402439279704575,"B","E","Bahrain"
"BIH",0.819405858824922,0.298915479541604,"C","D","Bosnia and Herzegovina"
"BLR",1.01339897832173,0.517084751044132,"C","D","Belarus"
"BOL",-0.35089206660815,-0.12500644800945,"C","D","Bolivia"
"BRA",1.3671969506028,-0.274956305715858,"B","E","Brazil"
"BRB",1.90579756933917,0.902094001401741,"D","F","Barbados"
"BTN",0.103626811525454,-0.0430898269839105,"C","D","Bhutan"
"BWA",0.185479144271705,1.49684573912762,"C","D","Botswana"
"CAF",-4.83310113495019,4.08096363823389,"F","A","Central African Republic"
"CAN",2.76811785139327,-0.245539527008966,"B","E","Canada"
"CHE",2.67450297965015,0.792202703985708,"D","F","Switzerland"
"CHL",1.98623026920059,-0.782719358297431,"B","E","Chile"
"CHN",-0.506560316524961,-2.42949684984109,"E","C","China (People’s Republic of)"
"CIV",-1.23716466836989,1.5637621369813,"F","A","Côte d’Ivoire"
"CMR",-1.80805496676894,1.03090039458658,"F","A","Cameroon"
"COD",-4.07556482274037,0.734488424140094,"F","A","Democratic Republic of the Congo"
"COG",-2.31723913932946,0.113117851921537,"A","B","Congo"
"COL",0.368966195140125,-1.51428555790388,"E","C","Colombia"
"COM",-1.91886127822842,0.766133730124771,"A","B","Comoros"
"CPV",0.226887286159974,1.0383057459065,"C","D","Cabo Verde"
"CRI",1.4699775148994,-1.06944669346592,"B","E","Costa Rica"
"CUB",0.727190657109505,-1.50715237936692,"B","E","Cuba"
"CYP",1.47467135864185,-0.145796015922214,"B","E","Cyprus"
"CZE",2.07680096832581,1.15690302386457,"D","F","Czech Republic"
"DEU",2.27620233372121,1.0750228761976,"D","F","Germany"
"DJI",-1.59263852470699,-0.215067411123974,"A","B","Djibouti"
"DNK",2.95205853753227,1.27252449570661,"D","F","Denmark"
"DOM",0.612582215916107,-0.604904140697727,"B","E","Dominican Republic"
"DZA",-0.0526458423296579,-1.53415892388841,"E","C","Algeria"
"ECU",-0.0395787903655558,-2.26079924793281,"E","C","Ecuador"
"EGY",-0.372767859289581,-2.09728078870091,"E","C","Egypt"
"ERI",-3.14095379408751,-0.447171491838587,"A","B","Eritrea"
"ESP",2.16134376136604,0.129252060414503,"D","F","Spain"
"EST",2.58706516754131,1.92654094101802,"D","F","Estonia"
"ETH",-3.10768287847453,-0.333850096410482,"A","B","Ethiopia"
"FIN",3.06282570640535,1.46660456432962,"D","F","Finland"
"FJI",0.650739040939267,0.420016638089065,"C","D","Fiji"
"FRA",2.32776357645131,0.325213046198491,"D","F","France"
"GAB",0.467998481441608,0.900479284963212,"C","D","Gabon"
"GBR",2.69886678755365,0.963166465270006,"D","F","United Kingdom"
"GEO",0.362204076468613,0.570403347630948,"C","D","Georgia"
"GHA",0.0278319736953079,1.04938118395137,"C","D","Ghana"
"GIN",-2.13523376361912,1.52828246466513,"F","A","Guinea"
"GMB",-1.4500387850375,-0.060957909068366,"A","B","Gambia"
"GNB",-2.63123052138214,1.94937849033112,"F","A","Guinea-Bissau"
"GNQ",-0.366641304403085,-0.194465647391223,"C","D","Equatorial Guinea"
"GRC",1.39106213101692,0.435143510977284,"C","D","Greece"
"GTM",-1.02156080352297,-1.25725205254985,"A","B","Guatemala"
