"iso3c","PC1","PC2","cut","cluster","countryname"
"AFG",-2.31480091991511,-1.08736165086542,"A","C","Afghanistan"
"AGO",-2.24252126258578,0.40726740253025,"B","A","Angola"
"ALB",1.05911628270197,-1.50010366454757,"C","D","Albania"
"ARE",0.394644726821847,0.981994787737412,"C","D","United Arab Emirates"
"ARG",1.41624152270414,-1.37191939110591,"C","D","Argentina"
"ARM",-1.37490907679744,1.08163432653007,"D","B","Armenia"
"AUS",4.27696650772388,1.26791800481752,"E","F","Australia"
"AUT",3.60496054910017,0.418320615905485,"E","F","Austria"
"AZE",-2.62655636068886,1.76197934575671,"D","B","Azerbaijan"
"BDI",-3.51891234423759,0.595170960122631,"B","A","Burundi"
"BEL",3.29049976094788,-0.676111051753606,"F","E","Belgium"
"BEN",0.44847522543987,-0.478525095180271,"C","D","Benin"
"BFA",-0.698991477861576,-0.919581828944988,"A","C","Burkina Faso"
"BGD",-2.32693571849761,0.370620733290302,"B","A","Bangladesh"
"BGR",1.00063267211731,-0.807743986006136,"C","D","Bulgaria"
"BHR",-0.889995544894807,-0.174681606037452,"A","C","Bahrain"
"BIH",0.742068309967018,0.0483097838714548,"C","D","Bosnia and Herzegovina"
"BLR",-2.15812630214776,1.71702183855612,"D","B","Belarus"
"BOL",0.0280181137781165,-0.474522902796596,"C","D","Bolivia"
"BRA",0.810244316102069,-1.01133184805403,"C","D","Brazil"
"BRB",1.96366241621911,0.755605876851776,"E","F","Barbados"
"BTN",1.42313048986916,-0.92650072812453,"F","E","Bhutan"
"BWA",1.9557899274248,-0.543052142398121,"F","E","Botswana"
"CAF",-2.27925671603439,-0.739387673412076,"A","C","Central African Republic"
"CAN",4.2008148706336,1.11800925407179,"E","F","Canada"
"CHE",5.18981014911459,2.68646700594376,"E","F","Switzerland"
"CHL",2.42785172501049,-0.635932254064573,"F","E","Chile"
"CHN",-2.22979139632422,2.21376046835939,"D","B","China (People’s Republic of)"
"CIV",-1.14807071725563,-0.534364841142138,"A","C","Côte d’Ivoire"
"CMR",-2.41075529867032,1.10359859964602,"D","B","Cameroon"
"COD",-2.78047029872338,-0.4090047247147,"B","A","Democratic Republic of the Congo"
"COG",-2.96128384737978,0.615761718507457,"B","A","Congo"
"COL",0.639566282689759,-1.21305054076748,"C","D","Colombia"
"COM",0.00511557841319255,-0.65634913857996,"C","D","Comoros"
"CPV",2.35993727081416,-0.788552860920223,"F","E","Cabo Verde"
"CRI",3.36740768089754,1.3620613986082,"E","F","Costa Rica"
"CUB",-1.78008875095205,1.37099048964002,"D","B","Cuba"
"CYP",2.07031983858911,0.383771856907157,"E","F","Cyprus"
"CZE",2.56047255271217,-0.910857864825967,"F","E","Czech Republic"
"DEU",3.52649482084505,-0.48618773530967,"F","E","Germany"
"DJI",-2.18186844001154,0.373474317465772,"B","A","Djibouti"
