"iso3c","PC1","PC2","cut","cluster","countryname"
"AFG",-5.92641569493887,2.18329599717893,"A","B","Afghanistan"
"AGO",-0.599964779286901,-1.02284096374165,"B","D","Angola"
"ALB",1.37434304149591,0.54995642613342,"C","E","Albania"
"ARE",1.83453305692354,1.28003727674219,"D","F","United Arab Emirates"
"ARG",1.29887374523902,-0.666352208990456,"C","E","Argentina"
"ARM",0.685184517017032,0.544522302221426,"C","E","Armenia"
"AUS",2.01502153084883,0.465759283350265,"D","F","Australia"
"AUT",2.32396021579745,0.50294030764935,"D","F","Austria"
"AZE",-0.548106306135557,0.145729863954759,"E","C","Azerbaijan"
"BDI",-0.650097005197081,-0.212265862969144,"E","C","Burundi"
"BEL",1.4801807405798,1.5207917681519,"D","F","Belgium"
"BEN",-0.153293150409968,-0.641107456451544,"B","D","Benin"
"BFA",-0.900639152527547,-0.47919524739381,"E","C","Burkina Faso"
"BGD",-1.41308788482712,-1.23382624414429,"B","D","Bangladesh"
"BGR",1.58234072687634,0.860090495397144,"D","F","Bulgaria"
"BHR",0.966218272777183,1.31747083452215,"D","F","Bahrain"
"BIH",1.06672362968905,0.146126701326889,"C","E","Bosnia and Herzegovina"
"BLR",0.999229782642327,0.0695634642473638,"C","E","Belarus"
"BOL",-0.222758466091229,-1.03973271359096,"B","D","Bolivia"
"BRA",-0.975415416855369,-1.32016744636462,"B","D","Brazil"
"BRB",1.96753975131775,-0.0444098252894331,"D","F","Barbados"
"BTN",0.78915834726485,-0.923287671388892,"C","E","Bhutan"
"BWA",1.14511170907311,-0.403721224221661,"C","E","Botswana"
"CAF",-4.15286856031538,-1.17948378803568,"E","C","Central African Republic"
"CAN",2.67109068302836,1.36769670320759,"D","F","Canada"
"CHE",2.55295413546573,0.274541262405013,"D","F","Switzerland"
"CHL",1.2712718304822,0.301349281837711,"C","E","Chile"
"CHN",0.111336920981646,0.153260471944165,"C","E","China (People’s Republic of)"
"CIV",-1.07312091478939,-0.915705824763857,"B","D","Côte d’Ivoire"
"CMR",-2.56139714027572,-0.907162678322492,"E","C","Cameroon"
"COD",-2.58432150769627,-1.38203429951149,"E","C","Democratic Republic of the Congo"
"COG",-0.84223556637956,-0.340598489192282,"E","C","Congo"
"COL",-1.62087034450341,-0.421964372478143,"E","C","Colombia"
"COM",-0.446416029221984,-0.500707625829519,"E","C","Comoros"
"CPV",0.967882128194917,-0.454271814023681,"C","E","Cabo Verde"
"CRI",1.50467254203148,-0.729464946391341,"C","E","Costa Rica"
"CUB",1.80776897298126,0.778794642693757,"D","F","Cuba"
"CYP",0.370853863950679,1.47817163777668,"D","F","Cyprus"
"CZE",2.1693404977467,1.48003903982634,"D","F","Czech Republic"
"DEU",1.84116030761908,1.5594699261145,"D","F","Germany"
"DJI",0.0287961288281646,0.359896324857408,"C","E","Djibouti"
"DNK",2.92742923853582,1.29819412833415,"D","F","Denmark"
