"iso3c","PC1","PC2","cut","cluster","countryname"
"AFG",-2.44681196638939,-1.04882430302435,"A","A","Afghanistan"
"AGO",-2.13511110212981,-0.521531442374382,"A","A","Angola"
"ALB",2.13984735714733,0.229360639320422,"B","F","Albania"
"ARE",0.164937102472742,0.607393622547521,"C","E","United Arab Emirates"
"ARG",1.05317605508799,-0.273895134042431,"D","D","Argentina"
"ARM",0.94538550788225,0.949901733791487,"C","E","Armenia"
"AUS",2.22943560835644,-0.0947007304273082,"B","F","Australia"
"AUT",3.20750466975884,0.556984731718326,"B","F","Austria"
"AZE",-2.7658161338652,1.14116530110446,"E","B","Azerbaijan"
"BDI",-3.43270310020471,0.249171435776436,"A","A","Burundi"
"BEL",3.10773208779676,0.859089462048713,"B","F","Belgium"
"BEN",1.05521703891812,-1.85892858644465,"D","D","Benin"
"BFA",-0.205416273230297,-1.95891146368743,"D","D","Burkina Faso"
"BGD",-1.25552853257391,-0.0339594087837126,"F","C","Bangladesh"
"BGR",1.90336391983585,0.538618431096904,"B","F","Bulgaria"
"BHR",-0.47978508783327,-0.00181415664527879,"F","C","Bahrain"
"BIH",1.2570570740174,1.00161625853329,"C","E","Bosnia and Herzegovina"
"BLR",0.448083559407728,2.15042501501176,"C","E","Belarus"
"BOL",-0.130692754899781,-0.847883206795749,"D","D","Bolivia"
"BRA",-0.193633977446438,-0.481488439638614,"D","D","Brazil"
"BRB",2.48615421756323,0.66178059962877,"B","F","Barbados"
"BTN",0.323497310072966,-0.408114435058381,"D","D","Bhutan"
"BWA",0.515461629897186,-1.55979849156611,"D","D","Botswana"
"CAF",-2.49452295619927,-1.41923550134407,"A","A","Central African Republic"
"CAN",2.4366751135648,0.392364577899276,"B","F","Canada"
"CHE",3.1524997223825,0.436829580885718,"B","F","Switzerland"
"CHL",0.804179490719617,-0.493665978436794,"D","D","Chile"
"CHN",-1.96634435559553,2.20355604173712,"E","B","China (People’s Republic of)"
"CIV",-0.790512480113682,-1.86836958334403,"D","D","Côte d’Ivoire"
"CMR",-1.78932658526194,-0.875035811989051,"A","A","Cameroon"
"COD",-3.17217425237435,-0.578204647591065,"A","A","Democratic Republic of the Congo"
"COG",-2.87589033957664,0.446985146320304,"A","A","Congo"
"COL",-0.443004807236415,-0.808169933948686,"D","D","Colombia"
"COM",0.519839252078418,-1.34228996682183,"D","D","Comoros"
"CPV",1.6293712682491,-1.40742924640978,"D","D","Cabo Verde"
"CRI",1.98523268274099,-1.5223192645067,"D","D","Costa Rica"
"CUB",-1.25275965253202,2.84552327198605,"E","B","Cuba"
"CYP",2.19143217535492,0.537314685457506,"B","F","Cyprus"
"CZE",2.89794970449541,1.12127302817006,"B","F","Czech Republic"
"DEU",3.15406132380596,0.139669891774891,"B","F","Germany"
"DJI",-0.946452769146504,-8.59796409007629e-05,"F","C","Djibouti"
"DNK",3.34192279956131,0.569403604714849,"B","F","Denmark"
"DOM",-0.150113155479905,-0.494708441853327,"D","D","Dominican Republic"
"DZA",-1.30241740940241,0.787038072708688,"F","C","Algeria"
"ECU",-0.540076972173692,0.131537179384959,"F","C","Ecuador"
"EGY",-3.65391780614211,0.676407248019651,"A","A","Egypt"
"ERI",-3.4134912852201,1.35132697377274,"E","B","Eritrea"
"ESP",2.74325587439274,0.629010586519996,"B","F","Spain"
"EST",3.06715107906224,0.373922890442501,"B","F","Estonia"
"ETH",-2.39137648312297,0.698044213318651,"A","A","Ethiopia"
"FIN",3.27273200258169,1.02373020983626,"B","F","Finland"
"FJI",0.547301759377874,-0.545656739946097,"D","D","Fiji"
"FRA",2.77518629285089,0.612059342866264,"B","F","France"
"GAB",0.104004271051267,-1.36944517690614,"D","D","Gabon"
"GBR",2.34029768772732,0.446496971032963,"B","F","United Kingdom"
"GEO",0.674807952573003,0.080935135463049,"C","E","Georgia"
"GHA",0.835178839282515,-1.72102426143985,"D","D","Ghana"
"GIN",-1.23962248286327,-0.235107075646918,"F","C","Guinea"
"GMB",-1.85594339675543,-1.03396884011114,"A","A","Gambia"
"GNB",-1.27940123855341,-1.17931039639473,"D","D","Guinea-Bissau"
"GNQ",-2.60763739919817,0.459463225155843,"A","A","Equatorial Guinea"
"GRC",2.47625001116754,0.760271811849919,"B","F","Greece"
"GTM",-1.90813432568839,-0.549923261129509,"A","A","Guatemala"
"GUY",0.955218859559166,-0.774260357951342,"D","D","Guyana"
"HND",-0.894652207541056,-1.00448593211359,"D","D","Honduras"
"HRV",1.82187365648028,1.59574993984409,"C","E","Croatia"
"HTI",-1.70241735551292,-1.82962723639433,"A","A","Haiti"
"HUN",1.70191103006134,1.12016470656268,"C","E","Hungary"
"IDN",0.161794223187969,-0.464591978315081,"D","D","Indonesia"
"IND",-0.465181260438792,-0.0417326201786839,"F","C","India"
"IRL",2.75470569332495,-0.166388230135677,"B","F","Ireland"
"IRN",-2.56029694578915,1.3088463482992,"E","B","Iran"
"IRQ",-1.9769322946791,-0.28442226254282,"A","A","Iraq"
"ISL",3.36407819251297,0.855050017580577,"B","F","Iceland"
"ISR",1.17884967120076,0.696234477121813,"C","E","Israel"
"ITA",3.00366087358646,0.623169702143316,"B","F","Italy"
"JAM",1.03597245606249,-0.648225559460054,"D","D","Jamaica"
"JOR",-1.16130888163222,-0.371235676071184,"F","C","Jordan"
"JPN",3.09249028506226,0.531280455561681,"B","F","Japan"
"KAZ",0.353570522632563,1.94295945773687,"C","E","Kazakhstan"
"KEN",-2.36154585538684,-1.98596056190227,"A","A","Kenya"
"KGZ",0.461757503906677,0.536038551672006,"C","E","Kyrgyzstan"
"KHM",-1.64618046165691,1.24248238617472,"F","C","Cambodia"
"KOR",2.39859551208001,1.19002626686592,"B","F","Korea"
"KWT",-0.875447851603749,0.591253239981491,"F","C","Kuwait"
"LAO",-1.96122660055411,0.481849167109575,"F","C","Lao People’s Democratic Republic"
