"cluster","variablename","mean.banded","rank","type","degree","colour"
"A","Core civil society index (C)",0.312965732443599,"2","Coping Capacity",NA,"Aqua"
"A","Environmental Health (R)",0.747014163372859,"3","Risks","*","Aqua"
"A","Food Security (C)",0.661067193675889,"3","Coping Capacity","*","Aqua"
"A","Government Effectiveness (C)",0.744186001319737,"3","Coping Capacity","*","Aqua"
"A","Natural Disasters Risk (R)",0.343373493975904,"2","Risks",NA,"Aqua"
"A","Prevalence of Infectious Disease (deaths per 100,000) (R)",0.504051481097353,"3","Risks","*","Aqua"
"A","Rule of Law (C)",0.689054231221729,"2","Coping Capacity",NA,"Aqua"
"A","Socio-Economic Vulnerability (R)",0.682312252964427,"3","Risks","*","Aqua"
"A","Uprooted people (R)",0.523181818181818,"2","Risks",NA,"Aqua"
"B","Core civil society index (C)",0.447025926519855,"2","Coping Capacity",NA,"Olive"
"B","Environmental Health (R)",0.595740424430642,"3","Risks","*","Olive"
"B","Food Security (C)",0.622049689440994,"3","Coping Capacity","*","Olive"
"B","Government Effectiveness (C)",0.708645664213737,"3","Coping Capacity","*","Olive"
"B","Natural Disasters Risk (R)",0.571084337349398,"2","Risks",NA,"Olive"
"B","Prevalence of Infectious Disease (deaths per 100,000) (R)",0.28358056584684,"2","Risks",NA,"Olive"
"B","Rule of Law (C)",0.67369372800802,"2","Coping Capacity",NA,"Olive"
"B","Socio-Economic Vulnerability (R)",0.499378881987578,"3","Risks","*","Olive"
"B","Uprooted people (R)",0.518285714285714,"2","Risks",NA,"Olive"
"C","Core civil society index (C)",0.489099134717737,"2","Coping Capacity",NA,"Violet"
"C","Environmental Health (R)",0.314232420826624,"2","Risks",NA,"Violet"
"C","Food Security (C)",0.251610305958132,"2","Coping Capacity",NA,"Violet"
"C","Government Effectiveness (C)",0.57556932418709,"2","Coping Capacity",NA,"Violet"
"C","Natural Disasters Risk (R)",0.70058009817046,"3","Risks","*","Violet"
"C","Prevalence of Infectious Disease (deaths per 100,000) (R)",0.188304781908905,"1","Risks","*","Violet"
"C","Rule of Law (C)",0.606334943732794,"2","Coping Capacity",NA,"Violet"
"C","Socio-Economic Vulnerability (R)",0.246376811594203,"2","Risks",NA,"Violet"
"C","Uprooted people (R)",0.537037037037037,"2","Risks",NA,"Violet"
"D","Core civil society index (C)",0.189168249947618,"2","Coping Capacity",NA,"Pink"
"D","Environmental Health (R)",0.277309782608696,"2","Risks",NA,"Pink"
"D","Food Security (C)",0.335258152173913,"2","Coping Capacity",NA,"Pink"
"D","Government Effectiveness (C)",0.526044933004737,"2","Coping Capacity",NA,"Pink"
"D","Natural Disasters Risk (R)",0.391189759036145,"2","Risks",NA,"Pink"
"D","Prevalence of Infectious Disease (deaths per 100,000) (R)",0.364739114443293,"2","Risks",NA,"Pink"
"D","Rule of Law (C)",0.495895190031629,"2","Coping Capacity",NA,"Pink"
"D","Socio-Economic Vulnerability (R)",0.284646739130435,"2","Risks",NA,"Pink"
"D","Uprooted people (R)",0.223125,"2","Risks",NA,"Pink"
"E","Core civil society index (C)",0.275217098810007,"2","Coping Capacity",NA,"Brown"
"E","Environmental Health (R)",0.196579835082459,"2","Risks",NA,"Brown"
"E","Food Security (C)",0.152548725637181,"2","Coping Capacity",NA,"Brown"
"E","Government Effectiveness (C)",0.349917071805257,"1","Coping Capacity","*","Brown"
"E","Natural Disasters Risk (R)",0.516410469464063,"2","Risks",NA,"Brown"
"E","Prevalence of Infectious Disease (deaths per 100,000) (R)",0.204580860864481,"1","Risks","*","Brown"
"E","Rule of Law (C)",0.338381931337677,"1","Coping Capacity","*","Brown"
"E","Socio-Economic Vulnerability (R)",0.146176911544228,"1","Risks","*","Brown"
"E","Uprooted people (R)",0.221724137931034,"2","Risks",NA,"Brown"
"F","Core civil society index (C)",0.078230799264006,"1","Coping Capacity","*","Grey"
"F","Environmental Health (R)",0.113602053140097,"1","Risks","*","Grey"
"F","Food Security (C)",0.148148148148148,"2","Coping Capacity",NA,"Grey"
"F","Government Effectiveness (C)",0.200559718463091,"1","Coping Capacity","*","Grey"
"F","Natural Disasters Risk (R)",0.234270414993307,"1","Risks","*","Grey"
"F","Prevalence of Infectious Disease (deaths per 100,000) (R)",0.366131058354205,"2","Risks",NA,"Grey"
"F","Rule of Law (C)",0.166555881667879,"1","Coping Capacity","*","Grey"
"F","Socio-Economic Vulnerability (R)",0.0640096618357488,"1","Risks","*","Grey"
"F","Uprooted people (R)",0.305555555555556,"2","Risks",NA,"Grey"
