"cluster","variablename","mean.banded","rank","type","degree","colour"
"A","Decentralised Elections (C)",0.710459089082763,"2","Coping Capacity",NA,"Aqua"
"A","Judicial Constraints on Executive Power (C)",0.796000572964687,"3","Coping Capacity","*","Aqua"
"A","Legislative Constraints on Executive Power (C)",0.776967911117463,"3","Coping Capacity","*","Aqua"
"A","Perception of Corruption (R)",0.839196428571429,"3","Risks","*","Aqua"
"A","Political Terror (R)",0.696428571428571,"3","Risks","*","Aqua"
"A","Regime Persistance (R)",0.955697278911565,"2","Risks",NA,"Aqua"
"A","Restricted Gender Physical integrity Value (C)",0.536225,"3","Coping Capacity","*","Aqua"
"A","Voice and Accountability (C)",0.778299771141776,"3","Coping Capacity","*","Aqua"
"B","Decentralised Elections (C)",0.890509916159737,"3","Coping Capacity","*","Olive"
"B","Judicial Constraints on Executive Power (C)",0.793617917822468,"3","Coping Capacity","*","Olive"
"B","Legislative Constraints on Executive Power (C)",0.837651387195581,"3","Coping Capacity","*","Olive"
"B","Perception of Corruption (R)",0.691759259259259,"2","Risks",NA,"Olive"
"B","Political Terror (R)",0.423611111111111,"2","Risks",NA,"Olive"
"B","Regime Persistance (R)",0.854166666666667,"2","Risks",NA,"Olive"
"B","Restricted Gender Physical integrity Value (C)",0.307461111111111,"2","Coping Capacity",NA,"Olive"
"B","Voice and Accountability (C)",0.787028313900708,"3","Coping Capacity","*","Olive"
"C","Decentralised Elections (C)",0.568738057480401,"2","Coping Capacity",NA,"Violet"
"C","Judicial Constraints on Executive Power (C)",0.511254636110723,"2","Coping Capacity",NA,"Violet"
"C","Legislative Constraints on Executive Power (C)",0.367240059416401,"2","Coping Capacity",NA,"Violet"
"C","Perception of Corruption (R)",0.737843137254902,"2","Risks",NA,"Violet"
"C","Political Terror (R)",0.520833333333333,"2","Risks",NA,"Violet"
"C","Regime Persistance (R)",0.960889355742297,"2","Risks",NA,"Violet"
"C","Restricted Gender Physical integrity Value (C)",0.454006862745098,"2","Coping Capacity",NA,"Violet"
"C","Voice and Accountability (C)",0.588706353878694,"2","Coping Capacity",NA,"Violet"
"D","Decentralised Elections (C)",0.465904350671914,"2","Coping Capacity",NA,"Pink"
"D","Judicial Constraints on Executive Power (C)",0.263012452351657,"2","Coping Capacity",NA,"Pink"
"D","Legislative Constraints on Executive Power (C)",0.263789764726251,"2","Coping Capacity",NA,"Pink"
"D","Perception of Corruption (R)",0.639800724637681,"2","Risks",NA,"Pink"
"D","Political Terror (R)",0.333333333333333,"2","Risks",NA,"Pink"
"D","Regime Persistance (R)",0.924025189786059,"2","Risks",NA,"Pink"
"D","Restricted Gender Physical integrity Value (C)",0.29111231884058,"2","Coping Capacity",NA,"Pink"
"D","Voice and Accountability (C)",0.377621113415291,"2","Coping Capacity",NA,"Pink"
"E","Decentralised Elections (C)",0.141469842240785,"1","Coping Capacity","*","Brown"
"E","Judicial Constraints on Executive Power (C)",0.126465525122391,"1","Coping Capacity","*","Brown"
"E","Legislative Constraints on Executive Power (C)",0.127071849992115,"1","Coping Capacity","*","Brown"
"E","Perception of Corruption (R)",0.388541666666667,"1","Risks","*","Brown"
"E","Political Terror (R)",0.128472222222222,"1","Risks","*","Brown"
"E","Regime Persistance (R)",0.874768518518519,"2","Risks",NA,"Brown"
"E","Restricted Gender Physical integrity Value (C)",0.154144191919192,"2","Coping Capacity",NA,"Brown"
"E","Voice and Accountability (C)",0.206730606710594,"1","Coping Capacity","*","Brown"
"F","Decentralised Elections (C)",0.43099758432093,"2","Coping Capacity",NA,"Grey"
"F","Judicial Constraints on Executive Power (C)",0.0605415610789713,"1","Coping Capacity","*","Grey"
"F","Legislative Constraints on Executive Power (C)",0.0830562405079005,"1","Coping Capacity","*","Grey"
"F","Perception of Corruption (R)",0.175,"1","Risks","*","Grey"
"F","Political Terror (R)",0.0359848484848485,"1","Risks","*","Grey"
"F","Regime Persistance (R)",0.562734487734488,"1","Risks","*","Grey"
"F","Restricted Gender Physical integrity Value (C)",0.135447933884297,"1","Coping Capacity","*","Grey"
"F","Voice and Accountability (C)",0.0966791173189666,"1","Coping Capacity","*","Grey"
